my mock up design,https://www.figma.com/file/akyXQLVQe6xCsYGREreoB0/Untitled?node-id=1-3&t=d5Rtt8QUZQxj3BtH-0,,,,,,,,,
User Table,,,,,,,,,,
user_id,FirstName,MiddleName,LastName,Birthday,age,cellphone number,username,email,password,address_id
1,Geraffe,Belen,andal,August 11 2001,33,9567692258,andal11,geraffe.andalb@gmail.com,12345678,
2,Marlene,Grancioso,andal,oct 16 2002,32,9155345889,grancioso16,marlene.grancioso@gmail.com,87654321,
,,,,,,,,,,
User_Role Table,,,JoinUserRole Table,,,,,,,
Role_id,Name,,user_id,Role_id,,,,,,
1,Admin,,1,1,,,,,,
2,User,,2,2,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Address table,,,,,,,,,,
id,house_no.,Street,barangay,municipality,state,country,postal_code,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
clients,,,,,clientjoindependent,,,,,
id,user_id,Insurance_id,vehicle_id,,client_id,dependent_id,,,,
,1,1,,,,,,,,
,1,5,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,clientjoinbeneficiary,,,,,
,,,,,client_id,beneficiary_id,,,,
,,,,,,,,,,
insurance,,,,,,,,,,
id,insurance type,vehicle type,category,age coverage,tenure,annual premium,monthly premium,amount insured,,
1,vehicle insurance,motorcycle,private,no age coverage,1,4500,450,"1,000,000",,
2,vehicle insurance,motorcycle,public,no age coverage,1,5000,500,"1,000,000",,
3,vehicle insurance,motorcycle,private,no age coverage,5,5500,550,"1,000,000",,
4,vehicle insurance,motorcycle,public,no age coverage,5,6500,650,"1,000,000",,
5,vehicle insurance,SUV,private,no age coverage,1,5500,550,"1,000,000",,
6,vehicle insurance,SUV,public,no age coverage,1,6500,650,"1,000,000",,
7,life insurance,not applicable,not applicable,25,1,4500,230,"1,000,000",,
8,life insurance,not applicable,not applicable,25,5,4500,200,"1,000,000",,
9,life insurance,not applicable,not applicable,35,1,5500,280,"1,000,000",,
10,life insurance,not applicable,not applicable,35,5,5500,250,"1,000,000",,
,,,,,,,,,,
dependent table,,,,,,,,,,
id,FirstName,MiddleName,LastName,Birthday,age,cellphone number,Address_id,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
beneficiary table,,,,,,,,,,
id,FirstName,MiddleName,LastName,Birthday,age,cellphone number,Address_id,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
vehicle table,,,,,,,,,,
id,type,date of registration,vehicle registration no.,vehicle model,vehicle chasis no.,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
claim table,,,,,,,,,,
id,claimer name,client-id,Admin In-charge,supporting duco,amount claim,status,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
life insurance ,,,,,,,,,,
id,age coverage,tenure,annual premium,monthly premium,amount insured,,,,,
1,25,1,4500,230,"1,000,000",,,,,
2,25,5,4500,200,"1,000,000",,,,,
3,35,1,5500,280,"1,000,000",,,,,
4,35,5,5500,250,"1,000,000",,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
vehicle insurance Client,,,,,,,,,,
id,user_id,vehicle Insurance_id,vehicle_id,,,,,,,
,1,2,,,,,,,,
,1,1,,,,,,,,
